TestName,URL,description,duration,adaptive_support,remote_support,TestType
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor, Approximate Completion Time in minutes = 24 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permi",20,Yes,Yes,A
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills. Approximate Completion Time in minutes = 0 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Multiple-choice test that measures vocabulary, grammar and reading comprehension skills. Approximate Com",20,No,Yes,K
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment. For more information, visit: https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ . Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot ",20,No,Yes,C
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment. For more information, visit: https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ . Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot ",20,No,Yes,C
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,"This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts. It is designed for all professionals and covers the following topics: Communication and Perception, Group Communication and Teamwork, Intercultural Communication, Interpersonal Communication, Interviewing and Communication, Intrapersonal Communication, Listening, Nonverbal Communication, Technology in Communication, Verbal Communication, and Language. Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor, Approximate Completion Time in minutes = 15 to 35 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly ",20,Yes,Yes,A
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,"The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence, providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of assessment. Over 90 independent validation studies have been conducted on the OPQ over a period of 25 years, across 20 countries and 40 industries, providing concrete evidence of its power to predict performance in the workplace. Professional Individual Contributor, Supervisor, Mid-Professional, Front Line Manager, General Population, Graduate, Manager, Director, Executive, English International, French (Canada), Portuguese, Chinese Simplified, Chinese Traditional, French (Belgium), French, Polish, Slovak, Czech, Danish, Flemish, Dutch, Estonian, Finnish, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latvian, Lithuanian, Norwegian, English (USA), Arabic, Portuguese (Brazil), Spanish, Latin American Spanish, Romanian, Russian, Serbian, Swedish, Thai, Turkish, Malay, Vietnamese, Approximate Completion Time in minutes = Untimed, approx. 25 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described ",20,No,Yes,P
Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,"Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services. Chinese Traditional, Dutch, Chinese Simplified, French, English International, Swedish, Italian, Norwegian, Danish, English (USA), French (Canada), Portuguese (Brazil), Spanish, German, Portuguese, Finnish, Approximate Completion Time in minutes = 56 We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different",20,No,Yes,A
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate. Approximate Completion Time in minutes = 36 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your perm",20,No,Yes,C
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/ Approximate Completion Time in minutes = max 20 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-part",20,No,Yes,A
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,"A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts. Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Approximate Completion Time in minutes = 60 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot gua",20,No,Yes,A
